id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time
53134335,DeliveredStatus,85260,18579597,20153483,WALL - Partner,TRUE,BICYCLE,1,6.029,7/13/2019 13:04:44,7/13/2019 13:05:32,7/13/2019 13:06:49,7/13/2019 13:09:13,7/13/2019 13:28:45,7/13/2019 13:46:58,7/13/2019 13:59:49
53009545,DeliveredStatus,23517,11871195,20153483,WALL - Partner,TRUE,BICYCLE,1,3.998,7/12/2019 20:06:29,7/12/2019 20:10:42,7/12/2019 20:11:02,7/12/2019 20:16:05,7/12/2019 20:23:07,7/12/2019 20:37:53,7/12/2019 20:43:01
53129297,DeliveredStatus,18300,1053786,20153483,WALL - Partner,TRUE,BICYCLE,1,5.309,7/13/2019 12:14:58,7/13/2019 12:15:44,7/13/2019 12:23:40,7/13/2019 12:45:16,7/13/2019 12:50:09,7/13/2019 12:55:16,7/13/2019 12:59:23
53235752,CanceledStatus,85260,20466508,20153483,WALL - Partner,TRUE,BICYCLE,1,6.429,7/13/2019 21:55:58,7/13/2019 22:24:58,7/13/2019 22:24:58,,,,7/13/2019 22:25:15
53002671,DeliveredStatus,15912,16549489,20153483,WALL - Partner,TRUE,BICYCLE,1,3.442,7/12/2019 19:40:13,7/12/2019 19:41:14,7/12/2019 19:42:34,7/12/2019 19:46:28,7/12/2019 19:56:59,7/12/2019 20:07:08,7/12/2019 20:10:37
53210586,DeliveredStatus,23518,16210716,20153483,WALL - Partner,TRUE,BICYCLE,1,3.103,7/13/2019 20:34:10,7/13/2019 20:35:04,7/13/2019 20:36:19,7/13/2019 20:45:05,7/13/2019 20:49:33,7/13/2019 21:06:04,7/13/2019 21:08:21
53185358,DeliveredStatus,85260,8068931,20153483,WALL - Partner,TRUE,BICYCLE,1,6.481,7/13/2019 19:41:01,7/13/2019 19:41:09,7/13/2019 19:42:02,7/13/2019 19:46:44,7/13/2019 19:54:04,7/13/2019 20:06:23,7/13/2019 20:13:00
52487265,DeliveredStatus,75822,17457353,20153483,WALL - Partner,TRUE,BICYCLE,1,3.932,7/9/2019 16:14:36,7/9/2019 16:15:08,7/9/2019 16:23:44,7/9/2019 16:30:11,7/9/2019 16:42:56,7/9/2019 16:48:33,7/9/2019 16:55:44
52619792,DeliveredStatus,18300,20401720,14547224,WALL - Partner,TRUE,BICYCLE,1,4.367,7/10/2019 13:14:09,7/10/2019 13:15:07,7/10/2019 13:17:31,7/10/2019 13:14:29,7/10/2019 13:25:03,7/10/2019 13:32:51,7/10/2019 13:35:44
52394270,DeliveredStatus,18300,13450660,14547224,WALL - Partner,TRUE,BICYCLE,1,5.966,7/8/2019 21:39:35,7/8/2019 21:40:35,7/8/2019 21:40:51,7/8/2019 21:46:20,7/8/2019 22:04:09,7/8/2019 22:12:40,7/8/2019 22:14:07
52634695,CanceledStatus,18300,2274369,14547224,WALL - Partner,TRUE,BICYCLE,1,4.298,7/10/2019 15:12:27,7/10/2019 15:13:04,7/10/2019 15:13:34,7/10/2019 15:26:38,7/10/2019 15:45:38,,7/10/2019 16:10:24
52462403,DeliveredStatus,18300,17158909,14547224,WALL - Partner,TRUE,BICYCLE,1,4.504,7/9/2019 12:37:21,7/9/2019 12:37:32,7/9/2019 12:37:39,7/9/2019 12:37:24,7/9/2019 12:52:02,7/9/2019 12:59:26,7/9/2019 13:03:48
52459840,DeliveredStatus,18300,6870167,14547224,WALL - Partner,TRUE,BICYCLE,1,3.245,7/9/2019 12:10:46,7/9/2019 12:11:06,7/9/2019 12:11:10,7/9/2019 12:10:58,7/9/2019 12:18:07,7/9/2019 12:24:46,7/9/2019 12:28:00
